from,indexvertexfrom,to,indexvertexto,altname,unixtimestamp,date,open,high,low,close,vwap,volume,count
MEME,285,EUR,167,MEMEEUR,1761868800,2025-10-31,0.001295,0.001356,0.001295,0.001322,0.001303,2381565.00662,23
MEME,285,USD,490,MEMEUSD,1761868800,2025-10-31,0.001498,0.001550,0.001495,0.001527,0.001529,3378988.89988,62
MERL,286,EUR,167,MERLEUR,1761868800,2025-10-31,0.29576,0.29594,0.28049,0.28423,0.28915,92740.73959,406
MERL,286,USD,490,MERLUSD,1761868800,2025-10-31,0.34000,0.34325,0.32092,0.32773,0.33128,459992.00185,563
MET,287,EUR,167,METEUR,0,1970-01-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0
METH,288,ETH,163,METHETH,1761868800,2025-10-31,1.0805,1.0805,1.0805,1.0805,1.0805,0.05912648,1
METH,288,USD,490,METHUSD,1761868800,2025-10-31,4113.8,4140.5,4113.8,4140.5,4123.7,0.15912648,2
METIS,289,EUR,167,METISEUR,1761868800,2025-10-31,7.77,7.85,7.74,7.85,7.83,26.41478,5
METIS,289,USD,490,METISUSD,1761868800,2025-10-31,9.00,9.19,8.80,8.97,9.00,248.89472,74
MET,287,USD,490,METUSD,0,1970-01-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0
M,278,EUR,167,MEUR,1761868800,2025-10-31,2.16064,2.22325,2.08320,2.14016,2.14596,7214.94093,744
ME,283,USD,490,MEUSD,1761868800,2025-10-31,0.4315,0.4463,0.4312,0.4390,0.4398,8393.30659,135
MEW,290,EUR,167,MEWEUR,1761868800,2025-10-31,0.001488,0.001538,0.001487,0.001529,0.001515,44786532.31621,142
MEW,290,USD,490,MEWUSD,1761868800,2025-10-31,0.001719,0.001780,0.001719,0.001770,0.001750,97103591.74282,331
MF,291,EUR,167,MFEUR,1761868800,2025-10-31,0.02216,0.02306,0.02066,0.02179,0.02206,249193.87081,111
MF,291,USD,490,MFUSD,1761868800,2025-10-31,0.02553,0.02696,0.02414,0.02464,0.02551,1904759.70603,507
MICHI,292,EUR,167,MICHIEUR,1761868800,2025-10-31,0.00951,0.00951,0.00914,0.00914,0.00915,22044.05854,12
MICHI,292,USD,490,MICHIUSD,1761868800,2025-10-31,0.01326,0.01329,0.01016,0.01078,0.01135,131354.01823,57
MIM,293,EUR,167,MIMEUR,1761868800,2025-10-31,0.000652,0.000652,0.000652,0.000652,0.000000,0.00000,0
MIM,293,USD,490,MIMUSD,1761868800,2025-10-31,0.000761,0.000815,0.000754,0.000788,0.000788,3992240.07186,83
MINA,294,EUR,167,MINAEUR,1761868800,2025-10-31,0.0816,0.0830,0.0806,0.0815,0.0817,140526.90980493,89
MINA,294,GBP,194,MINAGBP,1761868800,2025-10-31,0.0711,0.0808,0.0707,0.0718,0.0722,54170.56453056,90
MINA,294,USD,490,MINAUSD,1761868800,2025-10-31,0.0934,0.0958,0.0929,0.0945,0.0945,339023.02595999,520
MINA,294,XBT,529,MINAXBT,1761868800,2025-10-31,0.000000865,0.000000875,0.000000857,0.000000857,0.000000861,29081.51597057,36
MIRA,296,EUR,167,MIRAEUR,1761868800,2025-10-31,0.2126,0.2294,0.2103,0.2221,0.2210,264545.72614,101
MIRA,296,USD,490,MIRAUSD,1761868800,2025-10-31,0.2450,0.2627,0.2435,0.2567,0.2545,376586.77672,250
MIR,295,EUR,167,MIREUR,1761868800,2025-10-31,0.00864,0.00881,0.00842,0.00872,0.00873,19457.94369470,12
MIRROR,297,EUR,167,MIRROREUR,1761868800,2025-10-31,0.00774,0.00862,0.00698,0.00766,0.00765,589962.57862,349
MIRROR,297,USD,490,MIRRORUSD,1761868800,2025-10-31,0.00894,0.00996,0.00803,0.00881,0.00888,4199056.33755,894
MIR,295,USD,490,MIRUSD,1761868800,2025-10-31,0.00960,0.01008,0.00958,0.00974,0.01006,225048.87234929,41
MNGO,299,EUR,167,MNGOEUR,1761868800,2025-10-31,0.01301,0.01301,0.01301,0.01301,0.01301,787.85550000,1
MNGO,299,USD,490,MNGOUSD,1761868800,2025-10-31,0.01500,0.01547,0.01500,0.01547,0.01541,1697.22879000,4
MNT,300,EUR,167,MNTEUR,1761868800,2025-10-31,1.2465,1.2897,1.2291,1.2665,1.2516,24996.29566,202
MNT,300,USD,490,MNTUSD,1761868800,2025-10-31,1.4388,1.4950,1.4190,1.4656,1.4526,190428.37233,1091
MOCA,301,EUR,167,MOCAEUR,1761868800,2025-10-31,0.04453,0.04453,0.04453,0.04453,0.00000,0.00000,0
MOCA,301,USD,490,MOCAUSD,1761868800,2025-10-31,0.05046,0.05046,0.05046,0.05046,0.05046,1487.86300,1
MOG,302,EUR,167,MOGEUR,1761868800,2025-10-31,0.0000003446,0.0000003574,0.0000003323,0.0000003443,0.0000003409,15453663978.84699,56
MOG,302,USD,490,MOGUSD,1761868800,2025-10-31,0.0000003949,0.0000004117,0.0000003814,0.0000003968,0.0000003972,496163545675.75731,763
MOODENG,303,EUR,167,MOODENGEUR,1761868800,2025-10-31,0.09135,0.09270,0.08902,0.09035,0.09123,183839.99946,49
MOODENG,303,USD,490,MOODENGUSD,1761868800,2025-10-31,0.10398,0.10733,0.10209,0.10430,0.10480,1415684.47271,505
MOON,304,EUR,167,MOONEUR,1761868800,2025-10-31,0.0693,0.0717,0.0669,0.0690,0.0692,8343.26968,7
MOON,304,USD,490,MOONUSD,1761868800,2025-10-31,0.0761,0.0824,0.0748,0.0809,0.0791,85609.75381,94
MORPHO,305,EUR,167,MORPHOEUR,1761868800,2025-10-31,1.70618,1.78113,1.70618,1.71965,1.72706,8508.49171,121
MORPHO,305,USD,490,MORPHOUSD,1761868800,2025-10-31,1.96280,2.02828,1.96280,1.98832,1.99522,44615.51758,520
MOVE,306,EUR,167,MOVEEUR,0,1970-01-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0
MOVE,306,USD,490,MOVEUSD,0,1970-01-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0
MOVR,307,EUR,167,MOVREUR,1761868800,2025-10-31,2.9000,2.9000,2.7942,2.8001,2.8583,280.16639161,14
MOVR,307,USD,490,MOVRUSD,1761868800,2025-10-31,3.3272,3.3424,3.2102,3.2301,3.3078,3748.60365991,48
MSOL,308,EUR,167,MSOLEUR,1761868800,2025-10-31,216.45,216.45,216.45,216.45,216.45,0.53557627,6
MSOL,308,USD,490,MSOLUSD,1761868800,2025-10-31,245.09,262.52,244.31,249.85,247.97,408.58204884,828
MUBARAK,309,EUR,167,MUBARAKEUR,1761868800,2025-10-31,0.01709,0.01754,0.01656,0.01754,0.01713,4498.55952,3
MUBARAK,309,USD,490,MUBARAKUSD,1761868800,2025-10-31,0.01995,0.02055,0.01944,0.02009,0.01998,197039.04470,33
MULTI,310,EUR,167,MULTIEUR,1761868800,2025-10-31,0.370,0.409,0.368,0.383,0.387,3137.63672402,20
MULTI,310,USD,490,MULTIUSD,1761868800,2025-10-31,0.435,0.441,0.427,0.441,0.434,1338.76014520,14
M,278,USD,490,MUSD,1761868800,2025-10-31,2.49216,2.57685,2.39924,2.48272,2.48020,47642.81490,2143
MV,311,EUR,167,MVEUR,1761868800,2025-10-31,0.00485,0.00517,0.00484,0.00517,0.00485,120360.12002269,34
MV,311,USD,490,MVUSD,1761868800,2025-10-31,0.00555,0.00579,0.00551,0.00563,0.00561,408693.19719874,83
MXC,312,EUR,167,MXCEUR,1761868800,2025-10-31,0.001094,0.001100,0.001070,0.001096,0.001092,2279988.02633274,45
MXC,312,USD,490,MXCUSD,1761868800,2025-10-31,0.001259,0.001279,0.001234,0.001259,0.001250,3972867.56092785,86
MXNB,313,USD,490,MXNBUSD,1761868800,2025-10-31,0.05392,0.05392,0.05374,0.05391,0.05385,2776.35914,3
MYX,314,EUR,167,MYXEUR,1761868800,2025-10-31,1.855,1.893,1.732,1.768,1.808,1702.53859,24
MYX,314,USD,490,MYXUSD,1761868800,2025-10-31,2.182,2.183,1.997,2.008,2.081,11567.54885,119
NANO,315,EUR,167,NANOEUR,1761868800,2025-10-31,0.562762,0.570000,0.555562,0.564736,0.564339,4057.68695785,27
NANO,315,USD,490,NANOUSD,1761868800,2025-10-31,0.650591,0.659951,0.641159,0.650435,0.650169,43875.49038508,363
NEAR,316,EUR,167,NEAREUR,1761868800,2025-10-31,1.813,1.866,1.800,1.824,1.823,31697.63272071,395
NEAR,316,USD,490,NEARUSD,1761868800,2025-10-31,2.099,2.155,2.067,2.107,2.111,167596.87513019,907
NEIRO,317,EUR,167,NEIROEUR,1761868800,2025-10-31,0.00015161,0.00015637,0.00015111,0.00015405,0.00015367,6649139.87914,15
NEIRO,317,USD,490,NEIROUSD,1761868800,2025-10-31,0.00017118,0.00018044,0.00017118,0.00017742,0.00017559,24778139.68526,39
NIL,318,EUR,167,NILEUR,1761868800,2025-10-31,0.2140,0.2140,0.1967,0.1967,0.2099,10771.55228,19
NIL,318,USD,490,NILUSD,1761868800,2025-10-31,0.2471,0.2508,0.2265,0.2265,0.2401,102814.25820,108
NMR,319,EUR,167,NMREUR,1761868800,2025-10-31,10.06,10.37,10.06,10.17,10.24,1005.31315411,133
NMR,319,USD,490,NMRUSD,1761868800,2025-10-31,11.58,11.90,11.58,11.78,11.78,729.01405807,86
NOBODY,320,EUR,167,NOBODYEUR,1761868800,2025-10-31,0.02556,0.02729,0.02479,0.02544,0.02617,153699.88554,96
NOBODY,320,USD,490,NOBODYUSD,1761868800,2025-10-31,0.02923,0.03210,0.02862,0.02990,0.03047,588989.25601,208
NODE,321,EUR,167,NODEEUR,0,1970-01-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
NODE,321,USD,490,NODEUSD,1761868800,2025-10-31,0.05216,0.05334,0.05170,0.05216,0.05253,16102.24216,31
NODL,322,EUR,167,NODLEUR,1761868800,2025-10-31,0.0001208,0.0001358,0.0001039,0.0001213,0.0001183,17218002.05857763,77
NODL,322,USD,490,NODLUSD,1761868800,2025-10-31,0.0001189,0.0001589,0.0001167,0.0001350,0.0001310,11035496.73776266,50
NOS,323,EUR,167,NOSEUR,1761868800,2025-10-31,0.356,0.367,0.344,0.347,0.354,41025.65723,297
NOS,323,USD,490,NOSUSD,1761868800,2025-10-31,0.409,0.425,0.398,0.400,0.412,146635.67651,593
