altname,wsname,indexofslash,from,to,quote,indexvertexfrom,indexvertexto
USDUCEUR,USDUC/EUR,5,USDUC,EUR,ZEUR,500,167
USDUCUSD,USDUC/USD,5,USDUC,USD,ZUSD,500,490
USELESSEUR,USELESS/EUR,7,USELESS,EUR,ZEUR,501,167
USELESSUSD,USELESS/USD,7,USELESS,USD,ZUSD,501,490
USTEUR,UST/EUR,3,UST,EUR,ZEUR,502,167
USTUSD,UST/USD,3,UST,USD,ZUSD,502,490
USTUSDC,UST/USDC,3,UST,USDC,USDC,502,492
USTUSDT,UST/USDT,3,UST,USDT,USDT,502,499
USUALEUR,USUAL/EUR,5,USUAL,EUR,ZEUR,503,167
USUALUSD,USUAL/USD,5,USUAL,USD,ZUSD,503,490
UUSD,U/USD,1,U,USD,ZUSD,483,490
VANRYEUR,VANRY/EUR,5,VANRY,EUR,ZEUR,504,167
VANRYUSD,VANRY/USD,5,VANRY,USD,ZUSD,504,490
VELODROMEEUR,VELODROME/EUR,9,VELODROME,EUR,ZEUR,505,167
VELODROMEUSD,VELODROME/USD,9,VELODROME,USD,ZUSD,505,490
VELVETEUR,VELVET/EUR,6,VELVET,EUR,ZEUR,506,167
VELVETUSD,VELVET/USD,6,VELVET,USD,ZUSD,506,490
VERSEEUR,VERSE/EUR,5,VERSE,EUR,ZEUR,507,167
VERSEUSD,VERSE/USD,5,VERSE,USD,ZUSD,507,490
VFYEUR,VFY/EUR,3,VFY,EUR,ZEUR,508,167
VFYUSD,VFY/USD,3,VFY,USD,ZUSD,508,490
VINEEUR,VINE/EUR,4,VINE,EUR,ZEUR,509,167
VINEUSD,VINE/USD,4,VINE,USD,ZUSD,509,490
VIRTUALEUR,VIRTUAL/EUR,7,VIRTUAL,EUR,ZEUR,510,167
VIRTUALUSD,VIRTUAL/USD,7,VIRTUAL,USD,ZUSD,510,490
VIRTUALUSDC,VIRTUAL/USDC,7,VIRTUAL,USDC,USDC,510,492
VIRTUALUSDT,VIRTUAL/USDT,7,VIRTUAL,USDT,USDT,510,499
VSNEUR,VSN/EUR,3,VSN,EUR,ZEUR,511,167
VSNUSD,VSN/USD,3,VSN,USD,ZUSD,511,490
VULTEUR,VULT/EUR,4,VULT,EUR,ZEUR,512,167
VULTUSD,VULT/USD,4,VULT,USD,ZUSD,512,490
VVVEUR,VVV/EUR,3,VVV,EUR,ZEUR,513,167
VVVUSD,VVV/USD,3,VVV,USD,ZUSD,513,490
WALEUR,WAL/EUR,3,WAL,EUR,ZEUR,515,167
WALUSD,WAL/USD,3,WAL,USD,ZUSD,515,490
WAXLEUR,WAXL/EUR,4,WAXL,EUR,ZEUR,516,167
WAXLUSD,WAXL/USD,4,WAXL,USD,ZUSD,516,490
WBTCEUR,WBTC/EUR,4,WBTC,EUR,ZEUR,517,167
WBTCUSD,WBTC/USD,4,WBTC,USD,ZUSD,517,490
WBTCXBT,WBTC/XBT,4,WBTC,XBT,XXBT,517,529
WCTEUR,WCT/EUR,3,WCT,EUR,ZEUR,518,167
WCTUSD,WCT/USD,3,WCT,USD,ZUSD,518,490
WELLEUR,WELL/EUR,4,WELL,EUR,ZEUR,519,167
WELLUSD,WELL/USD,4,WELL,USD,ZUSD,519,490
WENEUR,WEN/EUR,3,WEN,EUR,ZEUR,520,167
WENUSD,WEN/USD,3,WEN,USD,ZUSD,520,490
WEUR,W/EUR,1,W,EUR,ZEUR,514,167
WIFEUR,WIF/EUR,3,WIF,EUR,ZEUR,521,167
WIFGBP,WIF/GBP,3,WIF,GBP,ZGBP,521,194
WIFUSD,WIF/USD,3,WIF,USD,ZUSD,521,490
WINEUR,WIN/EUR,3,WIN,EUR,ZEUR,522,167
WINUSD,WIN/USD,3,WIN,USD,ZUSD,522,490
WLDEUR,WLD/EUR,3,WLD,EUR,ZEUR,523,167
WLDUSD,WLD/USD,3,WLD,USD,ZUSD,523,490
WLFIEUR,WLFI/EUR,4,WLFI,EUR,ZEUR,524,167
WLFIUSD,WLFI/USD,4,WLFI,USD,ZUSD,524,490
WMTXEUR,WMTX/EUR,4,WMTX,EUR,ZEUR,525,167
WMTXUSD,WMTX/USD,4,WMTX,USD,ZUSD,525,490
WOOEUR,WOO/EUR,3,WOO,EUR,ZEUR,526,167
WOOUSD,WOO/USD,3,WOO,USD,ZUSD,526,490
WUSD,W/USD,1,W,USD,ZUSD,514,490
XANEUR,XAN/EUR,3,XAN,EUR,ZEUR,527,167
XANUSD,XAN/USD,3,XAN,USD,ZUSD,527,490
XAUTUSD,XAUT/USD,4,XAUT,USD,ZUSD,528,490
XAUTUSDT,XAUT/USDT,4,XAUT,USDT,USDT,528,499
XBTAUD,XBT/AUD,3,XBT,AUD,ZAUD,529,54
XBTCHF,XBT/CHF,3,XBT,CHF,CHF,529,109
XBTDAI,XBT/DAI,3,XBT,DAI,DAI,529,134
XBTEURC,XBT/EURC,3,XBT,EURC,EURC,529,168
XBTPYUSD,XBT/PYUSD,3,XBT,PYUSD,PYUSD,529,374
XBTUSD1,XBT/USD1,3,XBT,USD1,USD1,529,491
XBTUSDC,XBT/USDC,3,XBT,USDC,USDC,529,492
XBTUSDT,XBT/USDT,3,XBT,USDT,USDT,529,499
XCNEUR,XCN/EUR,3,XCN,EUR,ZEUR,530,167
XCNUSD,XCN/USD,3,XCN,USD,ZUSD,530,490
XDCCAD,XDC/CAD,3,XDC,CAD,ZCAD,531,97
XDCEUR,XDC/EUR,3,XDC,EUR,ZEUR,531,167
XDCUSD,XDC/USD,3,XDC,USD,ZUSD,531,490
XDCUSDC,XDC/USDC,3,XDC,USDC,USDC,531,492
XDGAUD,XDG/AUD,3,XDG,AUD,ZAUD,532,54
XDGCAD,XDG/CAD,3,XDG,CAD,ZCAD,532,97
XDGEUR,XDG/EUR,3,XDG,EUR,ZEUR,532,167
XDGGBP,XDG/GBP,3,XDG,GBP,ZGBP,532,194
XDGUSD,XDG/USD,3,XDG,USD,ZUSD,532,490
XDGUSDC,XDG/USDC,3,XDG,USDC,USDC,532,492
XDGUSDT,XDG/USDT,3,XDG,USDT,USDT,532,499
ETCETH,ETC/ETH,3,ETC,ETH,XETH,162,163
ETCXBT,ETC/XBT,3,ETC,XBT,XXBT,162,529
ETCEUR,ETC/EUR,3,ETC,EUR,ZEUR,162,167
ETCUSD,ETC/USD,3,ETC,USD,ZUSD,162,490
ETHXBT,ETH/XBT,3,ETH,XBT,XXBT,163,529
ETHCAD,ETH/CAD,3,ETH,CAD,ZCAD,163,97
ETHEUR,ETH/EUR,3,ETH,EUR,ZEUR,163,167
ETHGBP,ETH/GBP,3,ETH,GBP,ZGBP,163,194
ETHJPY,ETH/JPY,3,ETH,JPY,ZJPY,163,234
ETHUSD,ETH/USD,3,ETH,USD,ZUSD,163,490
XIONEUR,XION/EUR,4,XION,EUR,ZEUR,533,167
XIONUSD,XION/USD,4,XION,USD,ZUSD,533,490
XL1EUR,XL1/EUR,3,XL1,EUR,ZEUR,534,167
XL1USD,XL1/USD,3,XL1,USD,ZUSD,534,490
LTCXBT,LTC/XBT,3,LTC,XBT,XXBT,275,529
LTCEUR,LTC/EUR,3,LTC,EUR,ZEUR,275,167
LTCJPY,LTC/JPY,3,LTC,JPY,ZJPY,275,234
LTCUSD,LTC/USD,3,LTC,USD,ZUSD,275,490
MLNXBT,MLN/XBT,3,MLN,XBT,XXBT,298,529
MLNEUR,MLN/EUR,3,MLN,EUR,ZEUR,298,167
MLNUSD,MLN/USD,3,MLN,USD,ZUSD,298,490
XMNEUR,XMN/EUR,3,XMN,EUR,ZEUR,536,167
XMNUSD,XMN/USD,3,XMN,USD,ZUSD,536,490
XMRUSDC,XMR/USDC,3,XMR,USDC,USDC,537,492
XMRUSDT,XMR/USDT,3,XMR,USDT,USDT,537,499
XNAPEUR,XNAP/EUR,4,XNAP,EUR,ZEUR,538,167
XNAPUSD,XNAP/USD,4,XNAP,USD,ZUSD,538,490
XNYEUR,XNY/EUR,3,XNY,EUR,ZEUR,539,167
XNYUSD,XNY/USD,3,XNY,USD,ZUSD,539,490
XPLEUR,XPL/EUR,3,XPL,EUR,ZEUR,540,167
XPLUSD,XPL/USD,3,XPL,USD,ZUSD,540,490
REPEUR,REP/EUR,3,REP,EUR,ZEUR,389,167
REPUSD,REP/USD,3,REP,USD,ZUSD,389,490
XRPAUD,XRP/AUD,3,XRP,AUD,ZAUD,541,54
XRPETH,XRP/ETH,3,XRP,ETH,XETH,541,163
XRPGBP,XRP/GBP,3,XRP,GBP,ZGBP,541,194
XRPRLUSD,XRP/RLUSD,3,XRP,RLUSD,RLUSD,541,397
XRPUSDC,XRP/USDC,3,XRP,USDC,USDC,541,492
XRPUSDT,XRP/USDT,3,XRP,USDT,USDT,541,499
XRTEUR,XRT/EUR,3,XRT,EUR,ZEUR,542,167
XRTUSD,XRT/USD,3,XRT,USD,ZUSD,542,490
XTEREUR,XTER/EUR,4,XTER,EUR,ZEUR,543,167
XTERUSD,XTER/USD,4,XTER,USD,ZUSD,543,490
XTZEUR,XTZ/EUR,3,XTZ,EUR,ZEUR,544,167
XTZUSD,XTZ/USD,3,XTZ,USD,ZUSD,544,490
XTZUSDC,XTZ/USDC,3,XTZ,USDC,USDC,544,492
XTZUSDT,XTZ/USDT,3,XTZ,USDT,USDT,544,499
XBTEUROP,XBT/EUROP,3,XBT,EUROP,EUROP,529,169
XBTUSDQ,XBT/USDQ,3,XBT,USDQ,USDQ,529,496
XBTUSDR,XBT/USDR,3,XBT,USDR,USDR,529,497
XBTCAD,XBT/CAD,3,XBT,CAD,ZCAD,529,97
XBTEUR,XBT/EUR,3,XBT,EUR,ZEUR,529,167
XBTGBP,XBT/GBP,3,XBT,GBP,ZGBP,529,194
XBTJPY,XBT/JPY,3,XBT,JPY,ZJPY,529,234
XBTUSD,XBT/USD,3,XBT,USD,ZUSD,529,490
XDGXBT,XDG/XBT,3,XDG,XBT,XXBT,532,529
XLMXBT,XLM/XBT,3,XLM,XBT,XXBT,535,529
XLMEUR,XLM/EUR,3,XLM,EUR,ZEUR,535,167
XLMGBP,XLM/GBP,3,XLM,GBP,ZGBP,535,194
XLMUSD,XLM/USD,3,XLM,USD,ZUSD,535,490
XMRXBT,XMR/XBT,3,XMR,XBT,XXBT,537,529
XMREUR,XMR/EUR,3,XMR,EUR,ZEUR,537,167
XMRUSD,XMR/USD,3,XMR,USD,ZUSD,537,490
XRPXBT,XRP/XBT,3,XRP,XBT,XXBT,541,529
XRPCAD,XRP/CAD,3,XRP,CAD,ZCAD,541,97
XRPEUR,XRP/EUR,3,XRP,EUR,ZEUR,541,167
XRPUSD,XRP/USD,3,XRP,USD,ZUSD,541,490
XYOEUR,XYO/EUR,3,XYO,EUR,ZEUR,545,167
XYOUSD,XYO/USD,3,XYO,USD,ZUSD,545,490
ZECEUR,ZEC/EUR,3,ZEC,EUR,ZEUR,552,167
ZECUSD,ZEC/USD,3,ZEC,USD,ZUSD,552,490
YALAEUR,YALA/EUR,4,YALA,EUR,ZEUR,546,167
YALAUSD,YALA/USD,4,YALA,USD,ZUSD,546,490
YBEUR,YB/EUR,2,YB,EUR,ZEUR,547,167
YBUSD,YB/USD,2,YB,USD,ZUSD,547,490
YFIEUR,YFI/EUR,3,YFI,EUR,ZEUR,548,167
YFIUSD,YFI/USD,3,YFI,USD,ZUSD,548,490
YGGEUR,YGG/EUR,3,YGG,EUR,ZEUR,549,167
YGGUSD,YGG/USD,3,YGG,USD,ZUSD,549,490
ZBCNEUR,ZBCN/EUR,4,ZBCN,EUR,ZEUR,550,167
ZBCNUSD,ZBCN/USD,4,ZBCN,USD,ZUSD,550,490
ZBTEUR,ZBT/EUR,3,ZBT,EUR,ZEUR,551,167
ZBTUSD,ZBT/USD,3,ZBT,USD,ZUSD,551,490
ZEREBROEUR,ZEREBRO/EUR,7,ZEREBRO,EUR,ZEUR,553,167
ZEREBROUSD,ZEREBRO/USD,7,ZEREBRO,USD,ZUSD,553,490
ZETAEUR,ZETA/EUR,4,ZETA,EUR,ZEUR,554,167
ZETAUSD,ZETA/USD,4,ZETA,USD,ZUSD,554,490
EURUSD,EUR/USD,3,EUR,USD,ZUSD,167,490
ZEUSEUR,ZEUS/EUR,4,ZEUS,EUR,ZEUR,555,167
ZEUSUSD,ZEUS/USD,4,ZEUS,USD,ZUSD,555,490
ZEXEUR,ZEX/EUR,3,ZEX,EUR,ZEUR,556,167
ZEXUSD,ZEX/USD,3,ZEX,USD,ZUSD,556,490
GBPUSD,GBP/USD,3,GBP,USD,ZUSD,194,490
ZIGEUR,ZIG/EUR,3,ZIG,EUR,ZEUR,557,167
ZIGUSD,ZIG/USD,3,ZIG,USD,ZUSD,557,490
ZKEUR,ZK/EUR,2,ZK,EUR,ZEUR,558,167
ZKUSD,ZK/USD,2,ZK,USD,ZUSD,558,490
ZORAEUR,ZORA/EUR,4,ZORA,EUR,ZEUR,559,167
ZORAUSD,ZORA/USD,4,ZORA,USD,ZUSD,559,490
ZRCEUR,ZRC/EUR,3,ZRC,EUR,ZEUR,560,167
ZRCUSD,ZRC/USD,3,ZRC,USD,ZUSD,560,490
ZROEUR,ZRO/EUR,3,ZRO,EUR,ZEUR,561,167
ZROUSD,ZRO/USD,3,ZRO,USD,ZUSD,561,490
ZRXEUR,ZRX/EUR,3,ZRX,EUR,ZEUR,562,167
ZRXUSD,ZRX/USD,3,ZRX,USD,ZUSD,562,490
ZRXXBT,ZRX/XBT,3,ZRX,XBT,XXBT,562,529
USDCAD,USD/CAD,3,USD,CAD,ZCAD,490,97
USDJPY,USD/JPY,3,USD,JPY,ZJPY,490,234
