altname,wsname,indexofslash,from,to,quote,indexvertexfrom,indexvertexto
LSSOLSOL,LSSOL/SOL,5,LSSOL,SOL,SOL,274,427
LSSOLUSD,LSSOL/USD,5,LSSOL,USD,ZUSD,274,490
LTCAUD,LTC/AUD,3,LTC,AUD,ZAUD,275,54
LTCETH,LTC/ETH,3,LTC,ETH,XETH,275,163
LTCGBP,LTC/GBP,3,LTC,GBP,ZGBP,275,194
LTCUSDC,LTC/USDC,3,LTC,USDC,USDC,275,492
LTCUSDT,LTC/USDT,3,LTC,USDT,USDT,275,499
LUNA2EUR,LUNA2/EUR,5,LUNA2,EUR,ZEUR,277,167
LUNA2USD,LUNA2/USD,5,LUNA2,USD,ZUSD,277,490
LUNAEUR,LUNA/EUR,4,LUNA,EUR,ZEUR,276,167
LUNAUSD,LUNA/USD,4,LUNA,USD,ZUSD,276,490
MANAEUR,MANA/EUR,4,MANA,EUR,ZEUR,279,167
MANAUSD,MANA/USD,4,MANA,USD,ZUSD,279,490
MANAUSDC,MANA/USDC,4,MANA,USDC,USDC,279,492
MANAUSDT,MANA/USDT,4,MANA,USDT,USDT,279,499
MANAXBT,MANA/XBT,4,MANA,XBT,XXBT,279,529
MASKEUR,MASK/EUR,4,MASK,EUR,ZEUR,280,167
MASKUSD,MASK/USD,4,MASK,USD,ZUSD,280,490
MATEUR,MAT/EUR,3,MAT,EUR,ZEUR,281,167
MATUSD,MAT/USD,3,MAT,USD,ZUSD,281,490
MCEUR,MC/EUR,2,MC,EUR,ZEUR,282,167
MCUSD,MC/USD,2,MC,USD,ZUSD,282,490
MEEUR,ME/EUR,2,ME,EUR,ZEUR,283,167
MELANIAEUR,MELANIA/EUR,7,MELANIA,EUR,ZEUR,284,167
MELANIAUSD,MELANIA/USD,7,MELANIA,USD,ZUSD,284,490
MELANIAUSDC,MELANIA/USDC,7,MELANIA,USDC,USDC,284,492
MELANIAUSDT,MELANIA/USDT,7,MELANIA,USDT,USDT,284,499
